# Server version 0.08 running on fbrizu:8123
# Game ID: 12
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Mar 30 22:42:29 EDT 2014
# Player 1: Player-0, 'omni', running on fbrizu
# Player 2: Player-1, 'random', running on fbrizu
# Player 3: Player-2, 'random', running on fbrizu
# Player 4: Player-3, 'random', running on fbrizu
START Player-0 omni
2 (4,11) (4,12)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 (14,15) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,0) (4,0)
1 (12,5) (12,3)
1 null null
2 (4,13) (5,13)
3 (15,10) (14,9)
0 (3,2) (2,2)
1 (14,2) (13,3)
2 (5,13) (4,14)
3 (15,11) (13,13)
3 null null
0 (3,6) (2,6)
1 (12,4) (13,5)
2 (4,12) (3,12)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 null null
0 (1,1) (2,0)
1 (12,1) (11,1)
2 (3,12) (4,11)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,11)
3 (13,11) (15,11)
3 (15,11) (13,11)
3 null null
0 (1,2) (3,4)
0 (3,4) (1,2)
0 (1,2) (3,4)
0 (3,4) (1,2)
0 (1,2) (3,4)
0 (3,4) (1,2)
0 (1,2) (3,2)
0 (3,2) (1,2)
0 (1,2) (3,4)
0 null null
1 (14,3) (13,4)
2 (1,14) (1,13)
3 (14,9) (15,9)
0 (3,4) (4,5)
1 (12,3) (11,4)
2 (1,9) (0,10)
3 (15,14) (14,14)
0 (4,5) (5,5)
1 (13,3) (14,3)
2 (1,15) (2,15)
3 (11,14) (11,13)
0 (2,6) (2,5)
1 (11,4) (10,3)
2 (2,14) (1,14)
3 (13,12) (12,13)
0 (1,5) (2,6)
1 (13,4) (12,3)
2 (5,12) (4,13)
3 (11,15) (13,15)
3 null null
0 (2,5) (1,5)
1 (11,1) (12,2)
2 (4,14) (3,15)
3 (14,14) (15,15)
0 (2,6) (1,7)
1 (15,4) (15,3)
2 (1,13) (1,15)
2 null null
3 (15,9) (14,8)
0 (1,5) (0,6)
1 (14,0) (13,1)
2 (1,14) (3,12)
2 (3,12) (5,10)
2 (5,10) (3,12)
2 (3,12) (5,10)
2 null null
3 (12,13) (11,12)
0 (1,4) (0,3)
1 (10,3) (11,2)
2 (4,13) (3,13)
3 (14,12) (13,12)
0 (2,3) (1,4)
1 (15,3) (14,2)
2 (2,13) (1,13)
3 (11,13) (10,14)
0 (1,0) (3,0)
0 null null
1 (11,2) (10,3)
2 (0,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (0,11)
2 null null
3 (12,15) (14,15)
3 null null
0 (0,6) (1,6)
1 (14,1) (14,0)
2 (3,13) (2,13)
3 (13,12) (12,13)
0 (2,2) (3,1)
1 (12,2) (11,2)
2 (2,13) (0,13)
2 (0,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (2,13)
2 null null
3 (13,15) (14,14)
0 (6,2) (6,3)
1 (14,3) (14,4)
2 (5,10) (4,10)
3 (13,13) (12,12)
0 (3,0) (1,0)
0 (1,0) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,0)
0 null null
1 (14,2) (14,3)
2 (2,13) (2,14)
3 (11,12) (13,14)
3 null null
0 (1,4) (1,5)
1 (14,3) (14,5)
1 null null
2 (2,15) (1,14)
3 (13,11) (11,13)
3 (11,13) (13,11)
3 (13,11) (15,11)
3 null null
0 (0,3) (1,3)
1 (13,0) (13,2)
1 (13,2) (13,0)
1 null null
2 (3,15) (4,14)
3 (14,14) (14,12)
3 (14,12) (14,14)
3 (14,14) (14,12)
3 null null
0 (0,2) (1,2)
1 (14,5) (12,5)
1 (12,5) (14,5)
1 (14,5) (14,3)
1 null null
2 (4,14) (4,13)
3 (12,12) (11,13)
0 (1,7) (2,8)
1 (13,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (4,10) (5,10)
3 (12,14) (14,14)
3 (14,14) (12,14)
3 (12,14) (14,14)
3 null null
0 (0,0) (1,1)
1 (15,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 (11,5) (11,3)
1 (11,3) (13,3)
1 (13,3) (15,5)
1 (15,5) (13,3)
1 (13,3) (15,5)
1 null null
2 (4,13) (4,12)
3 (14,14) (15,14)
0 (5,5) (4,6)
1 (10,3) (12,5)
1 (12,5) (14,5)
1 (14,5) (12,5)
1 (12,5) (14,5)
1 null null
2 (1,13) (3,15)
2 null null
3 (15,14) (15,13)
0 (3,1) (4,2)
1 (14,3) (13,2)
2 (4,11) (3,12)
3 (10,14) (10,15)
0 (4,2) (5,3)
1 (15,2) (14,2)
2 (1,15) (2,15)
3 (15,15) (13,15)
3 null null
0 (1,6) (1,7)
1 (13,1) (13,3)
1 (13,3) (15,1)
1 (15,1) (13,3)
1 (13,3) (11,3)
1 null null
2 (1,14) (2,13)
3 (14,8) (13,7)
0 (1,5) (2,5)
1 (14,5) (13,6)
2 (0,14) (1,14)
3 (11,13) (10,13)
0 (2,5) (2,4)
1 (13,6) (14,7)
2 (0,15) (1,15)
3 (12,13) (13,12)
0 (2,8) (2,7)
1 (14,7) (12,7)
1 null null
2 (0,11) (0,9)
2 (0,9) (0,11)
2 null null
3 (14,15) (15,15)
0 (1,2) (1,0)
0 (1,0) (1,2)
0 null null
1 (12,7) (13,8)
2 (2,13) (0,15)
2 null null
3 (10,15) (10,14)
0 (4,6) (3,6)
1 (13,8) (12,9)
2 (0,12) (1,11)
3 (10,14) (11,14)
0 (5,3) (4,2)
1 (12,9) (12,8)
2 (0,11) (2,13)
2 (2,13) (4,11)
2 (4,11) (2,13)
2 (2,13) (0,11)
2 null null
3 (14,11) (14,10)
0 (4,2) (5,2)
1 (11,3) (10,2)
2 (1,12) (0,12)
3 (11,14) (12,14)
0 (1,1) (0,0)
1 (10,2) (12,2)
1 null null
2 (1,14) (0,14)
3 (14,12) (13,11)
0 (5,2) (4,1)
1 (12,8) (11,7)
2 (3,12) (4,13)
3 (15,15) (15,14)
0 (6,3) (7,2)
1 (12,2) (11,3)
2 (5,10) (6,11)
3 (12,14) (11,13)
0 (2,7) (1,8)
1 (13,2) (12,1)
2 (0,12) (1,12)
3 (15,11) (14,11)
0 (1,7) (2,8)
1 (14,4) (14,5)
2 (4,13) (3,12)
3 (13,7) (13,8)
0 (4,0) (5,0)
1 (13,5) (12,5)
2 (3,12) (5,12)
2 (5,12) (3,12)
2 null null
3 (13,11) (14,12)
0 (3,6) (4,6)
1 (11,3) (11,1)
1 null null
2 (1,15) (1,14)
3 (14,10) (13,11)
0 (7,2) (6,3)
1 (12,5) (13,6)
2 (1,14) (2,13)
3 (14,12) (12,12)
3 null null
0 (2,4) (3,5)
1 (14,2) (14,3)
2 (3,15) (1,15)
2 (1,15) (3,15)
2 null null
3 (11,13) (11,12)
0 (3,5) (2,6)
1 (11,7) (12,6)
2 (2,14) (1,15)
3 (13,8) (14,7)
0 (2,8) (3,7)
1 (12,3) (13,3)
2 (3,12) (4,13)
3 (13,12) (13,13)
0 (1,3) (2,2)
1 (11,4) (11,3)
2 (0,11) (2,11)
2 (2,11) (0,11)
2 (0,11) (0,9)
2 null null
3 (10,13) (11,14)
0 (4,6) (4,7)
1 (13,3) (12,3)
2 (4,13) (3,13)
3 (14,13) (12,13)
3 (12,13) (14,13)
3 (14,13) (12,15)
3 (12,15) (14,13)
3 (14,13) (12,15)
3 (12,15) (14,13)
3 null null
0 (4,7) (3,8)
1 (11,2) (12,2)
2 (3,13) (4,14)
3 (15,12) (15,11)
0 (5,0) (6,0)
1 (11,1) (13,1)
1 (13,1) (11,1)
1 (11,1) (13,1)
1 (13,1) (11,1)
1 null null
2 (0,14) (0,13)
3 (14,11) (12,11)
3 (12,11) (14,11)
3 (14,11) (12,11)
3 (12,11) (12,13)
3 null null
0 (3,7) (1,5)
0 null null
1 (13,6) (12,5)
2 (6,11) (7,12)
3 (15,14) (15,12)
3 (15,12) (15,10)
3 (15,10) (15,12)
3 null null
0 (1,2) (0,1)
1 (12,1) (11,0)
2 (4,12) (5,13)
3 (11,12) (10,11)
0 (2,0) (1,0)
1 (11,3) (11,4)
2 (1,15) (1,14)
3 (13,14) (12,15)
0 (6,3) (7,2)
1 (14,5) (13,4)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 null null
3 (14,7) (15,8)
0 (1,8) (2,8)
1 (11,1) (11,2)
2 (2,15) (4,15)
2 null null
3 (10,11) (11,10)
0 (4,1) (3,2)
1 (15,0) (15,1)
2 (0,9) (1,9)
3 (15,8) (14,7)
0 (7,2) (6,1)
1 (14,3) (14,2)
2 (0,10) (0,11)
3 (13,11) (14,12)
0 (6,0) (7,1)
1 (12,0) (10,0)
1 null null
2 (3,15) (3,14)
3 (14,7) (13,8)
0 (2,6) (1,7)
1 (10,0) (9,1)
2 (4,14) (2,14)
2 (2,14) (4,14)
2 null null
3 (14,12) (12,14)
3 (12,14) (14,12)
3 null null
0 (3,2) (3,3)
1 (15,5) (14,5)
2 (4,15) (4,13)
2 null null
3 (11,10) (10,10)
0 (3,8) (2,7)
1 (14,0) (13,0)
2 (3,12) (2,12)
3 (12,12) (13,12)
0 (3,3) (3,2)
1 (12,5) (12,4)
2 (5,13) (6,13)
3 (10,10) (11,9)
0 (1,5) (0,6)
1 (11,2) (11,3)
2 (6,13) (5,14)
3 (13,12) (12,11)
0 (7,1) (8,2)
1 (12,2) (11,1)
2 (2,13) (1,13)
3 (12,11) (11,11)
0 (0,5) (1,5)
1 (9,1) (9,2)
2 (2,12) (3,13)
3 (11,9) (10,9)
0 (2,2) (1,2)
1 (11,0) (12,0)
2 (3,13) (4,12)
3 (11,14) (13,12)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (13,14)
3 (13,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (2,8) (2,9)
1 (12,0) (12,1)
2 (1,13) (0,12)
3 (11,14) (13,12)
3 null null
0 (2,7) (2,8)
1 (14,2) (14,1)
2 (4,13) (4,15)
2 null null
3 (15,11) (15,10)
0 (6,1) (5,1)
1 (11,4) (10,4)
2 (1,11) (0,10)
3 (12,15) (12,14)
0 (8,2) (10,2)
0 (10,2) (8,2)
0 (8,2) (10,2)
0 null null
1 (13,4) (13,5)
2 (4,12) (3,13)
3 (10,9) (9,10)
0 (1,2) (0,2)
1 (10,4) (9,3)
2 (1,12) (1,13)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 null null
0 (2,8) (2,10)
GAMEOVER 
WINNER Player-1
# Game ended: Sun Mar 30 22:42:49 EDT 2014
